"","germplasmName","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","net_merit","notes","Weight..lb."
"77","19-16176",59.2,86.3,130.6,37.8,1.2,22.7,510.3,"PrUrb21[rust:R]; PrUrb21[rust:R]; YTNeo22[ve, clean]; YTNeo22[lodging]",35.75
"78","19-16279",58.7,82.4,130.9,39.1,0.5,6.7,509.7,"PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[tall]; YTNeo22[lodging]; YTUrb22[Lodging]; YTUrb22[Lodg]",28.01
"79","19-16325",58.7,82.6,129.9,39.1,0.9,10.5,507.2,"PrStj21[maturity:E obs:awns]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[bearded, leaning]; YTNeo22[lodging]; YTUrb22[Lodging]; YTUrb22[Thin]",26.31
"80","19-16368",58.8,85.6,131.7,39.3,1.2,20.6,501.9,"PrUrb21[rust:R]; PrUrb21[rust:R]; YTNeo22[leaning, tall]; YTNeo22[leaning]; YTUrb22[Lodging]",34.68
"81","19-16856",58.6,85.5,132.6,37.8,0.7,10.7,512,"PrStj21[maturity:L obs:nice appearance]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[leaning, thick, clean]; YTNeo22[leaning]; YTUrb22[Lodging]; YTUrb22[Sea of heads]",34.79
"82","19-17051",58.3,82.2,130.8,38.2,1.4,18.9,485.7,"PrStj21[maturity:L]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall, septoria]; YTNeo22[lodging]; YTUrb22[Lodging]",26.64
"83","19-17467",58.7,81.1,132.5,36.7,0.7,12.7,486.1,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[leaning, mixed]; YTUrb22[Mix]; YTUrb22[Lodg]",27.63
"84","19-17546",58.6,84.2,128.4,38.3,1,15.2,519.4,"PrStj21[maturity:E]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[sept]; YTUrb22[Tall, ve]",32.45
"85","19-17662",59.1,86.7,130.4,38.2,0.8,11.6,528.1,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTUrb22[Leaning]; YTUrb22[Leaning]",33.16
"86","19-17823",59.1,85.3,133,38.2,0.8,11.2,506.8,"PrStj21[maturity:L]; PrUrb21[rust:R]; PrUrb21[rust:R]; YTNeo22[clean]; YTUrb22[Leaning]; YTUrb22[Leaning]",31.59
